,place_name,reviewer_name,reviewer_rating
291,PA.SO.LA Restaurant,Reddy Panggabean,5
292,PA.SO.LA Restaurant,Marcella Cindy,5
293,PA.SO.LA Restaurant,Michelle A,2
294,PA.SO.LA Restaurant,Rini Yulianti,5
295,Table8,Julia Christina,5
296,Table8,Vincent Ruslie,5
297,Table8,Joshua Gustaf Tangkulung,5
298,Table8,theodora regina,5
299,Table8,Titan 10,5
300,D'Sky Bistro - Jakarta,Ghozy Naim,5
301,D'Sky Bistro - Jakarta,Aleksander Hutabarat,4
302,D'Sky Bistro - Jakarta,Agung Satrio,4
303,D'Sky Bistro - Jakarta,bagus ariadi,5
304,D'Sky Bistro - Jakarta,BEN,5
305,Gran Via Cafe,Hans Jonathan,5
306,Gran Via Cafe,Jennifer Bratakencana,5
307,Gran Via Cafe,Linawati Sardjan,3
308,Gran Via Cafe,Max,5
309,Gran Via Cafe,Safeena Shivanand,5
310,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,dailux,3
311,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,nicholas aristia,4
312,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,Taufik WIDJAJA,5
313,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,Yulis Nawati,5
314,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,Matin Abrardo Barizza,5
315,Skye,lady nathalia,4
316,Skye,Adi Kurniawan,5
317,Skye,Raditya Pratama,5
318,Skye,FRANCISCA,5
319,Skye,Katy Wise,5
320,Palm Court,Andrian Taufik,5
321,Palm Court,Brian Hermawan,5
322,Palm Court,Putra P,5
323,Palm Court,M. Fuad Q. Alam,4
324,Palm Court,Puput Ertiandani,5
325,Gamalama Resto & Cafe Jakarta,Andre Tjoa,5
326,Gamalama Resto & Cafe Jakarta,Mardea Mumpuni,5
327,Gamalama Resto & Cafe Jakarta,byUrmo,4
328,Gamalama Resto & Cafe Jakarta,Agung Yuristianto,5
329,Gamalama Resto & Cafe Jakarta,E “Ben-Ari” Ariesandy,2
330,Henshin,Uhandanny Soebiantoro,4
331,Henshin,Sapi Lucu,4
332,Henshin,Sasda Sabrina,5
333,Henshin,Adhitya S Ramadianto,5
334,Henshin,Handoko Limaho,5
335,Twelve Chinese Dining,Silly Cow,4
336,Twelve Chinese Dining,Andre Alexander,5
337,Twelve Chinese Dining,Jessica Michelle Christian,3
338,Twelve Chinese Dining,Just Jennz,4
339,Twelve Chinese Dining,Rob Umbara,4
340,Lara Djonggrang,lisna nababan,4
341,Lara Djonggrang,Anjan Bhattacharya,4
342,Lara Djonggrang,RIKA HAKIM,5
343,Lara Djonggrang,Nayu A. Ramadhaningsih,4
344,Lara Djonggrang,Bagas Adi Nugroho,5
345,1928 Restaurant,Abby Marcel,5
346,1928 Restaurant,Handoko Limaho,5
347,1928 Restaurant,Amaranila Lalita,5
348,1928 Restaurant,Lana D,5
349,1928 Restaurant,Joel Chow,3
350,Kaum Jakarta,Jo Anne Pilapil,5
351,Kaum Jakarta,Adrian S,5
352,Kaum Jakarta,RIKA HAKIM,5
353,Kaum Jakarta,Nanda (Nseptember),5
354,Kaum Jakarta,Nida,4
355,AMUZ Gourmet Restaurant,Raymond Lim,5
356,AMUZ Gourmet Restaurant,Handoko Limaho,5
357,AMUZ Gourmet Restaurant,Das Tian,5
358,AMUZ Gourmet Restaurant,nicholas aristia,5
359,AMUZ Gourmet Restaurant,Max Auberger,5
360,Seasonal Tastes at The Westin Jakarta,Freddy Kua,5
361,Seasonal Tastes at The Westin Jakarta,Joanne Eugenia,5
362,Seasonal Tastes at The Westin Jakarta,Sam Root,5
363,Seasonal Tastes at The Westin Jakarta,Aldi Inak,5
364,Seasonal Tastes at The Westin Jakarta,Karin N. Nisa (karintil),4
365,The Cafe,Yulius Rizal,5
366,The Cafe,Indie Saragih,5
367,The Cafe,Keluarga Bontanghe,5
368,The Cafe,Joshua Gustaf Tangkulung,5
369,The Cafe,Marcella Cindy,5
370,BISTECCA,Yulius Rizal,5
371,BISTECCA,Gleb Livshitz,4
372,BISTECCA,Azriel David,3
373,BISTECCA,Puja Saputra,4
374,BISTECCA,Bull Dogg,4
375,Queens Head Jakarta,Nanda (Nseptember),4
376,Queens Head Jakarta,Kenny Kurniawan,5
377,Queens Head Jakarta,Alessia Mathewson,5
378,Queens Head Jakarta,Dindin Nurhayadin,5
379,Queens Head Jakarta,Annisa Nabila,4
380,Sailendra Restaurant,Andina Ayunani,5
381,Sailendra Restaurant,Te Ir,5
382,Sailendra Restaurant,florentina raines,5
383,Sailendra Restaurant,Eka Deny,5
384,Sailendra Restaurant,Kevin,5
385,View Steak Bar,rafa martinez,5
386,View Steak Bar,Handoko Limaho,4
387,View Steak Bar,Ivan K,5
388,View Steak Bar,Sara Febriany,5
389,View Steak Bar,Vicky Hermawan,5
390,SEIA Restaurant,Aris Limiarto,4
391,SEIA Restaurant,audrey gunawan,5
392,SEIA Restaurant,Virna AR,5
393,SEIA Restaurant,Stella Leeansyah,5
394,SEIA Restaurant,benny tjhin,5
395,Asuka Japanese Dining,Lee Lan Kam,4
396,Asuka Japanese Dining,J,3
397,Asuka Japanese Dining,David Chastain,5
398,Asuka Japanese Dining,WaiTuck CHONG,5
399,Asuka Japanese Dining,Gleb Livshitz,5
400,Tom’s by Tom Aikens,Bernardine Tan,4
401,Tom’s by Tom Aikens,J Chung,5
402,Tom’s by Tom Aikens,RYAN LIN,5
403,Tom’s by Tom Aikens,Martin Hong,5
404,Tom’s by Tom Aikens,Dio A.P,4
405,Smarapura,Emillia_ NF,4
406,Smarapura,Yulius Rizal,5
407,Smarapura,Artono Hadisanto,5
408,Smarapura,Christopher Sutandar,5
409,Smarapura,Baiq Nurul Srifathona,4
410,Sudestada,Hannah Glathar,5
411,Sudestada,Naomi R,5
412,Sudestada,Linna,5
413,Sudestada,Ronnie Wongkar,5
414,Sudestada,Sonny Ng,4
415,Grand Café,Arline Wijaya,5
416,Grand Café,Sanjeev Bhalla,5
417,Grand Café,Radja Sitanggang,5
418,Grand Café,Harso Forever,4
419,Grand Café,Ronald Ishak,1
420,Cikang Coffee & Resto,HDR HDR,1
421,Cikang Coffee & Resto,Dyah,5
422,Cikang Coffee & Resto,Dea A,1
423,Cikang Coffee & Resto,Vi I,4
424,Cikang Coffee & Resto,Martin Hong,4
425,Wolfgang's Steakhouse Jakarta,Rahadiyan Narendra,5
426,Wolfgang's Steakhouse Jakarta,Henry Gunawan,5
427,Wolfgang's Steakhouse Jakarta,Munchie Diary,5
428,Wolfgang's Steakhouse Jakarta,Gregory Joey,5
429,Wolfgang's Steakhouse Jakarta,Erik Firman,5
430,GIOI Menteng,Astri A,5
431,GIOI Menteng,Nanda (Nseptember),4
432,GIOI Menteng,Sherly Dewi,5
433,GIOI Menteng,Annisha Nurilla,5
434,GIOI Menteng,Aris Limiarto,4
435,Namaaz Dining,Ivan Aditya,4
436,Namaaz Dining,Yuwanda Kasikin,3
437,Namaaz Dining,Graciela Christina,5
438,Namaaz Dining,Bartoq R,5
439,Namaaz Dining,lisna nababan,4
440,Iga-Ku Restaurant,XY Fuwa,4
441,Iga-Ku Restaurant,Cindyas Rachmat,4
442,Iga-Ku Restaurant,T Novalia,4
443,Iga-Ku Restaurant,ika subekti,5
444,Iga-Ku Restaurant,Eldo Kredainou Alwi,5
445,Turkuaz,Sapiderman Lumpat,4
446,Turkuaz,FWPN,4
447,Turkuaz,Hadi Santoso,5
448,Turkuaz,Allinhere Y,5
449,Turkuaz,Arief Ramon,4
450,Loewy,Manish Shrivastava,5
451,Loewy,Puspa Cahyono,4
452,Loewy,Erniyati Fun,2
453,Loewy,Juliana Kwok,5
454,Loewy,Roland Trimmel,5
455,Three Buns Jakarta,Wisnu Bramantyo,5
456,Three Buns Jakarta,Pete Silva,3
457,Three Buns Jakarta,Stefano,5
458,Three Buns Jakarta,Hannah Glathar,5
459,Three Buns Jakarta,Diandra Valini,5
460,Kembang Goela Restaurant,F (Fer),5
461,Kembang Goela Restaurant,Camille,5
462,Kembang Goela Restaurant,Novita Frederika,3
463,Kembang Goela Restaurant,Norman C,2
464,Kembang Goela Restaurant,Rahmi,4
465,Oakroom Restaurant & Bar,STEVANIE,4
466,Oakroom Restaurant & Bar,One Will,5
467,Oakroom Restaurant & Bar,Firman Firdani,5
468,Oakroom Restaurant & Bar,Lewi Verdatama,5
469,Oakroom Restaurant & Bar,Aditya Halim,3
470,OKU,Anonymous Person,3
471,OKU,Belinda xie,5
472,OKU,Wilsen Tjhung,4
473,OKU,Randy,5
474,OKU,Mas Bei,5
475,il Mare,C Sir,5
476,il Mare,davy Sukamta,5
477,il Mare,Andre Nath,2
478,il Mare,Ahda Arifa Ismail,5
479,il Mare,Rhicke Jennings,5
480,Paulaner Bräuhaus,Sukamdhani Kencana,5
481,Paulaner Bräuhaus,Jo Anne Pilapil,4
482,Paulaner Bräuhaus,Marbert Lie,4
483,Paulaner Bräuhaus,tobi d.,3
484,Paulaner Bräuhaus,Nanda (Nseptember),3
485,Pearl Chinese Restaurant,Donny S,4
486,Pearl Chinese Restaurant,D3knee,1
487,Pearl Chinese Restaurant,มานี่มาตรา มานั่น,5
488,Pearl Chinese Restaurant,Eiline Federica,5
489,Pearl Chinese Restaurant,regina setiawan,5
490,C’s Steak and Seafood,Fernando Sarael,4
491,C’s Steak and Seafood,v3r,5
492,C’s Steak and Seafood,Laurent Limare,5
493,C’s Steak and Seafood,Laily Lanisy,5
494,C’s Steak and Seafood,Arief Ramon,4
495,Benihana The Japanese Steakhouse,Freddy Samad,5
496,Benihana The Japanese Steakhouse,Erly Tunriallu,5
497,Benihana The Japanese Steakhouse,Kezya Gunawan Wijaya,5
498,Benihana The Japanese Steakhouse,tobi d.,5
