,business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,price_level,Types
279,OPERATIONAL,"ELYSEE SCBD Jakarta, Level 6 Rooftop, Lot 21 SCBD RT.7/RW.1, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, RT.7/RW.1, Senayan, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wolfgang's Steakhouse Jakarta,,,ChIJ7ZN-7m7xaS4RUg7AIKujobk,,4.5,ChIJ7ZN-7m7xaS4RUg7AIKujobk,,872.0,,restaurant
280,OPERATIONAL,"Jl. Dr. Kusuma Atmaja No.85, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,GIOI Menteng,,,ChIJeYhllMT1aS4REHk4N38VwC8,,4.6,ChIJeYhllMT1aS4REHk4N38VwC8,,1176.0,3.0,restaurant
281,OPERATIONAL,"Jl. Gunawarman No.42, RT.5/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Namaaz Dining,,,ChIJTxAy8WfxaS4Rt0KGZl6HS1Y,,4.7,ChIJTxAy8WfxaS4Rt0KGZl6HS1Y,,820.0,4.0,restaurant
282,OPERATIONAL,"No. 21, Jl. Minangkabau Barat No.RT. 6, RT.6/RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Iga-Ku Restaurant,,,ChIJW37leHT0aS4RrocMQUAWBfg,,4.5,ChIJW37leHT0aS4RrocMQUAWBfg,,599.0,2.0,restaurant
283,OPERATIONAL,"Jl. Gunawarman No.32, RT.5/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Turkuaz,,,ChIJP8bvQ13xaS4RgueoWi9kdBA,,4.5,ChIJP8bvQ13xaS4RgueoWi9kdBA,,1255.0,3.0,restaurant
284,OPERATIONAL,"Oakwood Premier Cozmo Jalan Lingkar Mega Kuningan E42 No.1, RT.5/RW.2, Kuningan, East Kuningan, Kuningan, South Jakarta City, Jakarta 12950, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Loewy,,,ChIJNejSzeTzaS4R4H-4VM-q3gc,,4.4,ChIJNejSzeTzaS4R4H-4VM-q3gc,,2713.0,3.0,bar
285,OPERATIONAL,"Jl. Senopati No.90, RT.7/RW.3, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Three Buns Jakarta,,,ChIJVVVVVWnxaS4RJeFjUGiEHp0,,4.5,ChIJVVVVVWnxaS4RJeFjUGiEHp0,,1726.0,3.0,restaurant
286,OPERATIONAL,"Jl. Jend. Sudirman No.Kav. 47-48, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kembang Goela Restaurant,,,ChIJBTgBuKr2aS4RnmNQqmrwMA8,,4.5,ChIJBTgBuKr2aS4RnmNQqmrwMA8,,1829.0,3.0,restaurant
287,OPERATIONAL,"Jl. DR. Ide Anak Agung Gde Agung No.1, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oakroom Restaurant & Bar,,,ChIJNejSzeTzaS4R__dOgZRNP1Q,,4.5,ChIJNejSzeTzaS4R__dOgZRNP1Q,,231.0,,restaurant
288,OPERATIONAL,"Hotel Indonesia Kempinski Jakarta, Jl. M.H. Thamrin No.1, RT.1/RW.5, Menteng, Central Jakarta City, Jakarta 10310, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,OKU,,,ChIJuQszoyH0aS4RpCt8AqUo27g,,4.6,ChIJuQszoyH0aS4RpCt8AqUo27g,,567.0,,lodging
289,OPERATIONAL,"Jl. K.H. Wahid Hasyim No.85, RT.1/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Djati Bistro,,,ChIJcUzGnCX0aS4RhNGAhyVfIV4,,4.2,ChIJcUzGnCX0aS4RhNGAhyVfIV4,,44.0,,restaurant
290,OPERATIONAL,"Jl. Asia Afrika, RT.1/RW.3, Gelora, Tanah Abang, Senayan, Jakarta 10270, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,il Mare,,,ChIJg7H3VrT2aS4R5PgC665IvU4,,4.6,ChIJg7H3VrT2aS4R5PgC665IvU4,,144.0,,restaurant
291,OPERATIONAL,"Jl. MH Thamrin No.1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Paulaner Bräuhaus,,,ChIJTwTtG9P1aS4RTBuC8A4MTBA,,4.6,ChIJTwTtG9P1aS4RTBuC8A4MTBA,,6314.0,3.0,bar
292,OPERATIONAL,"Jakarta, JW Marriott Hotel Jakarta Kawasan Mega Kuningan, Jl. DR. Ide Anak Agung Gde Agung No.1, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pearl Chinese Restaurant,,,ChIJZ2G-1vrzaS4RVORT_L831bs,,4.5,ChIJZ2G-1vrzaS4RVORT_L831bs,,225.0,,restaurant
293,OPERATIONAL,"The Sultan Complex, Jl. Gatot Subroto, RT.2/RW.1, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lagoon Cafe - The Sultan Hotel & Residence Jakarta,,,ChIJcWkN7SPxaS4RbIU-u0tpC40,,4.6,ChIJcWkN7SPxaS4RbIU-u0tpC40,,76.0,,restaurant
294,OPERATIONAL,"Grand Hyatt Jakarta, Jl. M.H. Thamrin No.Kav. 28-30, RT.9/RW.5, Gondangdia, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,C’s Steak and Seafood,,,ChIJh8yGUCH0aS4ROWo5zuy04X4,,4.5,ChIJh8yGUCH0aS4ROWo5zuy04X4,,151.0,,restaurant
