,place_name,reviewer_name,reviewer_rating
196,Canting Londo Kitchen,Intan Harmae,5
197,Canting Londo Kitchen,Estu Dimas Danang,5
198,Canting Londo Kitchen,Hasandi Patriawan,3
199,Canting Londo Kitchen,Muhammad Afif Farhan,2
200,Canton Restaurant,Faiz Rabbani,4
201,Canton Restaurant,Andre Bastary,5
202,Canton Restaurant,Skull Crusher,5
203,Canton Restaurant,Mariana Wijayanti,5
204,Canton Restaurant,Oktavius Kristanto,5
205,Arjes Kitchen,Ahmad Rizqi Ramadhan,4
206,Arjes Kitchen,Muhammad Fakhri,4
207,Arjes Kitchen,Indyana Meitayoga,5
208,Arjes Kitchen,Irma Rahmawati,4
209,Arjes Kitchen,Muhammad Yusuf Choirul,5
210,Saffron Resto & Meatshop,HS MXH,5
211,Saffron Resto & Meatshop,Adelisa Devita,5
212,Saffron Resto & Meatshop,m,5
213,Saffron Resto & Meatshop,Dean Handiyansyah,5
214,Saffron Resto & Meatshop,Rina Tri Lestari,5
215,Alamama Resto,Ajeng K Ratri,4
216,Alamama Resto,amrullah iam,5
217,Alamama Resto,Janitra Haryanto,5
218,Alamama Resto,John Does,3
219,Alamama Resto,Haotian Tong,5
220,Par Four Cafe,Josua Muliawan,5
221,Par Four Cafe,Anthony Zeng,5
222,Par Four Cafe,Budi Dharmawan,5
223,Par Four Cafe,Sylvi Prayogo,5
224,Par Four Cafe,Frederik Cavadino,5
225,Omah Sinten Heritage Hotel & Resto,Richard Wu,4
226,Omah Sinten Heritage Hotel & Resto,John Abbott,3
227,Omah Sinten Heritage Hotel & Resto,Yesa Kristina,4
228,Omah Sinten Heritage Hotel & Resto,Toomas Vendelin,5
229,Omah Sinten Heritage Hotel & Resto,Abbott Hsu,5
230,Che-eS Resto,Bagus Widyanto,3
231,Che-eS Resto,Ari Eko Prasethio,4
232,Che-eS Resto,Desi Arinda,5
233,Che-eS Resto,Ellfa D Y,4
234,Che-eS Resto,Idris Panji,5
235,Goela Klapa Authentic Indonesian Cuisine,Inez Permata Hati,5
236,Goela Klapa Authentic Indonesian Cuisine,Antonio Bepe,4
237,Goela Klapa Authentic Indonesian Cuisine,Davin Thomas,5
238,Goela Klapa Authentic Indonesian Cuisine,Bunda FiFa Diary,5
239,Goela Klapa Authentic Indonesian Cuisine,Agil Saputro,5
240,The Soga Eatery,Inaa Dasele,5
241,The Soga Eatery,Suhaili Abdul Rahman,4
242,The Soga Eatery,fajar zona,5
243,The Soga Eatery,febrian ayu,3
244,The Soga Eatery,Ade Rosadin Noor,5
245,Fai Kie Chinese Restaurant,San Ristha,4
246,Fai Kie Chinese Restaurant,Lost Princess,5
247,Fai Kie Chinese Restaurant,Wimbo Satwiko,4
248,Fai Kie Chinese Restaurant,Andre,5
249,Fai Kie Chinese Restaurant,Indra Pratama,5
250,Wedangan Solo Jebres,arifanti murniawati,5
251,Wedangan Solo Jebres,Dewanto Andoko,5
252,Wedangan Solo Jebres,Joko Arianto,3
253,Wedangan Solo Jebres,Lina R.I.,5
254,Wedangan Solo Jebres,Rheza Alfano,5
255,Timlo Solo Restaurant,Sofi Reksoyudo,4
256,Timlo Solo Restaurant,Diva Clara Azelia,5
257,Timlo Solo Restaurant,anita anggoro,3
258,Timlo Solo Restaurant,RMJ,4
259,Timlo Solo Restaurant,Toto Hermanto Setiawan,5
260,Nini Thowong Restaurant,Patrick Prabowo,4
261,Nini Thowong Restaurant,Missy n Ceria,4
262,Nini Thowong Restaurant,Andre Bastary,4
263,Nini Thowong Restaurant,Raden Oktova Gamma Star,4
264,Nini Thowong Restaurant,Johan (Hyushi),3
265,Madam Xiang,Mariana Wijayanti,5
266,Madam Xiang,Rex Sumner,5
267,Madam Xiang,Gerhard Aditama,4
268,Madam Xiang,Andri Rahardja,5
269,Madam Xiang,Stevan Ady Susanto,3
270,Kusuma Sari Restaurant & Ice Cream,Muchlas Abdi Pratama,3
271,Kusuma Sari Restaurant & Ice Cream,Agatha Andini,5
272,Kusuma Sari Restaurant & Ice Cream,Warsono Hadisubroto,4
273,Kusuma Sari Restaurant & Ice Cream,Nina,4
274,Kusuma Sari Restaurant & Ice Cream,h yusuf,5
275,Solo's Bistro,Dessy Puspitasari,5
276,Solo's Bistro,Imaduddin Faqih,5
277,Solo's Bistro,Joseph Ferdinand,5
278,Solo's Bistro,Hans Photography,5
279,Solo's Bistro,T R,3
280,Pecel Solo,Fino Indrasaputra,4
281,Pecel Solo,Just Berry,5
282,Pecel Solo,Jamal,5
283,Pecel Solo,Nava K,4
284,Pecel Solo,Setiawaty Lukman,5
285,Kadipolo Meatball,Ayi,4
286,Kadipolo Meatball,Hasimy Md,4
287,Kadipolo Meatball,Adi Setiya,4
288,Kadipolo Meatball,Alvin Lee,5
289,Kadipolo Meatball,Artha Dewi,4
290,Cafe Tiga Ceret,Beteng S,5
291,Cafe Tiga Ceret,Rendra Bhatara,3
292,Cafe Tiga Ceret,Kiky Zein,5
293,Cafe Tiga Ceret,Ayunda Adinda,5
294,Cafe Tiga Ceret,SAZ07,5
295,Canting Londo Kitchen,Deby Firmansyah,4
296,Canting Londo Kitchen,Intan Harmae,5
297,Canting Londo Kitchen,Estu Dimas Danang,5
298,Canting Londo Kitchen,Hasandi Patriawan,3
299,Canting Londo Kitchen,Muhammad Afif Farhan,2
300,Canton Restaurant,Faiz Rabbani,4
301,Canton Restaurant,Andre Bastary,5
302,Canton Restaurant,Skull Crusher,5
303,Canton Restaurant,Mariana Wijayanti,5
304,Canton Restaurant,Oktavius Kristanto,5
305,Ramayana Indonesian Restaurant,Felana,4
306,Ramayana Indonesian Restaurant,Kasra J. Munara,4
307,Ramayana Indonesian Restaurant,Ambrose John,5
308,Ramayana Indonesian Restaurant,Stary Stary,5
309,Ramayana Indonesian Restaurant,Hendro HP (HP),5
310,Tirai Bamboe Restaurant,Noviyanti Narulita,4
311,Tirai Bamboe Restaurant,Bernhard Fego,5
312,Tirai Bamboe Restaurant,Dharaa Dhara,4
313,Tirai Bamboe Restaurant,G's H.,2
314,Tirai Bamboe Restaurant,Erlina Papudi,3
315,RM Blengerr,Ellfa D Y,5
316,RM Blengerr,retha setiawan,5
317,RM Blengerr,Gunawan Wijaya,5
318,RM Blengerr,Victo M,4
319,RM Blengerr,Mangli Adventure,5
320,XinXin Restaurant,Andre Bastary,4
321,XinXin Restaurant,kevinch,5
322,XinXin Restaurant,Rick Berry,4
323,XinXin Restaurant,Widow Maker,5
324,XinXin Restaurant,Rudy Samuel,4
325,Garden Resto,Lee & Roy,4
326,Garden Resto,Eleora,5
327,Garden Resto,Febby Andrea,5
328,Garden Resto,Petr Vasicek,4
329,Garden Resto,Fajar Pamungkas,5
330,Kafe Star Restaurant,B.C. Ong,4
331,Kafe Star Restaurant,kevinch,5
332,Kafe Star Restaurant,Suryadi Hertanto,5
333,Kafe Star Restaurant,Julian Julian,4
334,Kafe Star Restaurant,Christiany Meitrea,5
335,Palm Ethnic Resto,Raymond Valiant,5
336,Palm Ethnic Resto,Mariana Wijayanti,5
337,Palm Ethnic Resto,Fikri Indrawan (AcengondoG),3
338,Palm Ethnic Resto,Olivia OliveTree,4
339,Palm Ethnic Resto,Alfons Tefa,4
340,Vipho9 Restaurant,Liem Eng Liong,4
341,Vipho9 Restaurant,Bella,5
342,Vipho9 Restaurant,Tretya A,4
343,Vipho9 Restaurant,Putri A. Smit,4
344,Vipho9 Restaurant,Raya Novarian,5
345,RODA DIMSUM & CHINESE FOOD,Divyna Aletta,5
346,RODA DIMSUM & CHINESE FOOD,Bella Luna Zadithya,5
347,RODA DIMSUM & CHINESE FOOD,Andi Asrawi,4
348,RODA DIMSUM & CHINESE FOOD,iskandar zulkarnain,4
349,RODA DIMSUM & CHINESE FOOD,Harry Sufehmi,3
350,Jinju Korean Eatery,Novita Wulandari,3
